activity,trial,subject,fs_hz,n_samples,duration_s,file_clean,trimmed_start_s,trimmed_end_s,steady_s,analysed_fraction,steady_threshold_g,no_motion,n_steady_segments,discarded_steady_s,n_bouts_analysed,steady_s_all_bouts,unanalysed_steady_s,bout_cadence_spread,frame_mode,frame_verdict,frame_reasons,forward_eig_ratio,forward_well_conditioned,forward_sign_confident,forward_sign_criteria_agree,forward_phase_effect_size,forward_impact_effect_size,vertical_tilt_median_deg,vertical_tilt_p95_deg,forward_drift_p95_deg,static_frame_valid,step_stride_axis_angle_deg,ml_independently_supported,fundamental_power_fraction,step_regularity,stride_regularity,step_symmetry_index,periodicity_ok,band_low_hz,band_high_hz,n_steps,n_steps_primary_bout,cadence_spm,cadence_spm_primary_bout,cadence_spm_span,cadence_spm_spectral,cadence_cv,irregular_stride_fraction,alternating_interval_asymmetry_abs_pct,cadence_in_band,detector_spectral_ratio,cadence_spread_within_bout,mixed_gait,harmonic_ambiguous,subharmonic_power_ratio,cadence_flagged,cadence_failure_cause,sample_rate_plausible,span_too_short,cadence_diagnosis,n_labelled_steps,contact_window_samples,alternation_consistency,alternation_surrogate_null,alternation_random_null,alternation_mid_step,excess_over_surrogate,n_non_flips,longest_same_sign_run,contact_margin_median,contact_margin_below_quarter_fraction,best_phase_alternation,best_phase_offset,best_phase_excess_over_surrogate,best_phase_surrogate_max_mean,best_phase_beats_surrogate_p95,alternation_phase_range,omega_v_rms_rad_s,omega_stride_power_fraction,omega_stride_over_step_power,cluster_separation_d,cluster_separation_d_excess,ground_truth_available,quality_verdict,quality_summary,side_classification
jog,9,1,50.0,4861,97.22,True,0.0,2.22,95.0,0.9771651923472536,0.8090364498609689,False,1,0.0,1,95.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 11 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 53 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error | forward sign (front vs back) is not resolved with confidence",9.307012702911091,True,False,False,0.09959127988511604,-0.01864578694216847,24.5055654633249,53.09779755644609,85.79277782837039,False,10.719689559645046,False,0.3934316094850056,0.13408905570402962,0.8686127346792308,0.15437150567858904,True,1.9103239501670302,4.093551321786493,257,257,163.4015069967707,163.4015069967707,162.84987277353687,163.74205287145975,0.05973147441793867,0.007843137254901933,17.133163698049493,True,0.9979202296006612,0.056804653679662497,False,False,0.04326557685529457,False,none,True,False,in band and consistent with the spectral estimate,257,5,0.828125,0.5184765625,0.49990234375,0.875,0.30964843750000004,44,8,0.7503477280330321,0.12840466926070038,0.875,0.5,0.23476562499999998,0.640234375,True,0.78515625,3.087195100860388,0.28846232099428565,0.7405145374209895,4.85614567944243,2.2089294858654043,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,2,50.0,4966,99.32,True,0.0,0.32,99.0,0.9967780910189288,0.868030574509487,False,1,0.0,1,99.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 2 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 39 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",6.906269339800909,True,True,True,0.16331177272470848,0.2866536328866415,16.88861800942359,39.0191199712206,65.66968745038633,False,2.4636754772567144,False,0.5843274315727528,0.4023537161847116,0.9068798458410791,0.44366816401300835,True,1.8834128802548387,4.035884743403226,265,265,160.9547123623011,160.9547123623011,160.94289778500305,161.43538973612903,0.029158924741137283,0.0,15.972363340784415,True,0.9970224783139955,0.05723370429251816,False,False,0.021876665035469305,False,none,True,False,in band and consistent with the spectral estimate,265,5,0.18181818181818182,0.5546401515151516,0.49931818181818177,0.9166666666666666,-0.37282196969696973,216,88,0.41128472578285613,0.2943396226415094,0.9695817490494296,0.6,0.3155291508238276,0.654052598225602,True,0.9165514460191266,2.0172661147648068,0.27501490419594754,2.6871693018088543,2.2810025983230813,-0.3662135952539445,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,3,50.0,4753,95.06,True,0.0,0.06,95.0,0.9993688196928255,0.6641457459503185,False,1,0.0,1,95.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 17 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 20 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",35.847884139795084,True,True,False,0.6357701182621004,-0.06649314027261173,9.199842582184914,20.450942483017794,17.095871313184134,False,16.601353220256982,False,0.6037702098919288,0.49007103471734836,0.825511237298887,0.5936576179397445,True,2.0327842725392724,4.355966298298441,271,271,171.41036533559898,171.41036533559898,171.42857142857142,174.23865193193765,0.039220405329453666,0.0,10.878306878307123,True,0.9837677428918385,0.05413533834586953,False,False,0.008825407864564016,False,none,True,False,in band and consistent with the spectral estimate,271,5,0.0962962962962963,0.4489444444444445,0.4996851851851851,0.5464684014869888,-0.35264814814814816,244,92,0.6416822349464957,0.14391143911439114,0.7695167286245354,0.7,0.2506008536417458,0.5189158749827896,True,0.673220432328239,1.1213913810799976,0.10938207580681907,0.5763803073391192,2.8666609492528465,0.21944475567582078,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,4,50.0,5294,105.88,True,0.0,0.88,105.0,0.9916887041934266,0.9011349437406114,False,1,0.0,1,105.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 24 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 33 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error | forward sign (front vs back) is not resolved with confidence",15.452651798998762,True,False,False,-0.01728542892478785,0.14783575523205789,15.658471357251019,33.1040443281618,17.185165195662616,False,23.84055623981089,False,0.5641209573829539,0.3439143669350648,0.8550304966790221,0.40222467885162466,True,1.7369676198045692,3.722073471009791,260,260,149.11173672458983,149.11173672458983,148.5091743119266,148.88293884039166,0.0472775614139704,0.007751937984496138,9.324994666097822,False,1.0015367636210046,0.050125313283207344,False,False,0.02978772741712975,True,trial,True,False,detector agrees with the spectral estimate (149 spm) to 0%; the runner's cadence really is outside 150-190 spm,260,5,0.7606177606177607,0.6101737451737451,0.4995366795366795,0.3333333333333333,0.15044401544401553,62,13,0.46781835573895225,0.20384615384615384,0.9302325581395349,0.3,0.23804172232006815,0.6921908358194667,True,0.5968992248062015,3.479681588787692,0.0828412752228051,1.9106940361118527,3.8263262494428236,1.1791100558657979,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy; cadence outside the expected band: detector agrees with the spectral estimate (149 spm) to 0%; the runner's cadence really is outside 150-190 spm,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,5,50.0,3558,71.16,True,0.0,0.16,71.0,0.9977515458122541,0.6090102313532426,False,1,0.0,1,71.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 26 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 25 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",25.275656726510892,True,True,False,0.772342806025639,-0.2798889582287577,12.885386667904992,24.508644847318678,7.876350413688424,False,25.86862623522264,False,0.7256416681140704,0.649028751929447,0.8682280076369164,0.747532613807206,True,2.030067096614948,4.350143778460604,205,205,174.0,174.0,174.01194199601932,174.00575113842413,0.03222687432208459,0.0,5.174864941711696,True,0.999966948572754,0.027777777777792997,False,False,0.03366565861308867,False,none,True,False,in band and consistent with the spectral estimate,205,5,0.24509803921568626,0.6075980392156862,0.5006127450980392,0.9411764705882353,-0.36249999999999993,154,31,0.41894279930995837,0.32195121951219513,0.9411764705882353,0.5,0.23656862745098028,0.704607843137255,True,0.696078431372549,1.234631622781127,0.37504103507933234,6.006507458130458,2.3413511821986432,-0.3058650113783825,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,6,50.0,4343,86.86,True,2.0,0.86,84.0,0.9670734515311996,1.0568901031363778,False,1,0.0,1,84.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 14 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 32 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",10.713680425510896,True,True,True,0.1089999001142271,0.37458672965463097,14.349368143093752,31.50023887971901,20.6217098106292,False,14.101267362930471,False,0.564492216499573,0.4200885325406301,0.8932581076450821,0.4702879592642262,True,1.8414659847261348,3.94599853869886,220,220,157.62834417932032,157.62834417932032,157.66738660907126,157.83994154795442,0.028530319126454665,0.0,16.00782029180781,True,0.9986594181006472,0.04748713889988769,False,False,0.023421554779552087,False,none,True,False,in band and consistent with the spectral estimate,220,5,0.817351598173516,0.6423972602739727,0.499634703196347,0.9178082191780822,0.1749543378995433,40,7,0.36210471435823377,0.2818181818181818,0.9817351598173516,0.7,0.2349842905617694,0.7467508692555822,True,0.7031963470319635,2.330646745552366,0.2687525004294211,4.935238836182916,3.4817455566633937,0.8345293630863679,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,7,50.0,4549,90.98,True,0.0,0.98,90.0,0.9892284018465597,0.7323427873910178,False,1,0.0,1,90.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 14 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 27 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",42.44689141853,True,True,True,-0.5810813974336207,-0.27779819911644066,13.550436968861138,26.595310975948735,74.75522122762416,False,13.962062005001586,False,0.6709373928214403,0.4720599853095521,0.8795240311884239,0.5367221003293097,True,1.9163318075905307,4.106425301979709,243,243,164.92236917768832,164.92236917768832,162.23463687150837,164.25701207918834,0.02721843809513336,0.008298755186721962,6.659217877095037,True,1.0040507074253804,0.029411764705862035,False,False,0.029884654518137394,False,none,True,False,in band and consistent with the spectral estimate,243,5,0.6157024793388429,0.6417355371900826,0.5000826446280991,0.5413223140495868,-0.02603305785123966,93,7,0.28507393980507917,0.4444444444444444,0.9752066115702479,0.7,0.23479338842975195,0.740413223140496,True,0.8925619834710743,1.3274541498300858,0.1765659317835738,2.1303233536115465,2.7368196402384446,0.08960344666141884,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,8,50.0,4247,84.94,True,0.0,0.94,84.0,0.9889333647280434,0.5712967933445579,False,1,0.0,1,84.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 21 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 19 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",32.370018573152,True,True,False,-0.604286179377878,0.692684163008386,8.70556077667937,18.840705179803248,16.85766168788798,False,20.854422319311336,False,0.8132291468563128,0.7336032896395289,0.9170660660199432,0.7999459546282846,True,1.9067908367882307,4.0859803645462085,224,224,162.3616236162362,162.3616236162362,160.70141724717752,163.43921458184835,0.029391889656454628,0.009009009009009028,1.6890539350303622,True,0.9934067783648549,0.05405405405405277,False,False,0.013489424476940593,False,none,True,False,in band and consistent with the spectral estimate,224,5,0.7085201793721974,0.6921973094170403,0.4997982062780269,0.9103139013452914,0.016322869955157082,65,5,0.4278992750639543,0.32142857142857145,0.9684684684684685,0.6,0.19522603320809595,0.7732424352603725,True,0.5155536702621905,0.9721179436142257,0.5453521115412049,13.493001657727376,2.5686420454942973,-0.07857414808272845,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,9,50.0,3847,76.94,True,0.0,0.94,76.0,0.9877826878086822,1.0110710572464678,False,1,0.0,1,76.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 22 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 36 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",12.475872967215967,True,True,False,0.1814044014908837,-0.06222141843931098,15.777691358182587,35.70403454802469,30.93999658622298,False,21.912874438221497,False,0.4283899962212924,0.0935061921444464,0.8748775851086522,0.10687917228195273,True,1.837410346017539,3.9373078843232983,199,199,157.18085106382975,157.18085106382975,157.10129595345146,157.49231537293193,0.04223827957202042,0.0,14.758000528960702,True,0.9980223523391306,0.05866058334691463,False,False,0.04292521534998421,False,none,True,False,in band and consistent with the spectral estimate,199,5,0.7121212121212122,0.6651262626262627,0.500909090909091,0.7575757575757576,0.04699494949494942,57,6,0.2099564854267865,0.5778894472361809,0.9898477157360406,0.8,0.20916166743577913,0.7806860483002614,True,0.732271958160283,3.2994367727505267,0.3812266604631983,5.002163786463088,2.705351453792453,0.05813526021542703,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
jog,9,10,50.0,4397,87.94,True,0.0,0.94,87.0,0.9893108937912213,0.8494434890853453,False,1,0.0,1,87.0,0.0,0.0,tracking,vertical_only,"step-rate and stride-rate horizontal axes are 33 deg apart, not ~90 deg: mediolateral axis is unverified | NOTE (not a failure): vertical wanders 33 deg (p95) within the trial, so a trial-constant rotation would be invalid here; tracking mode is in use, which removes that error",7.0897709435420895,True,True,True,0.47531156795866597,0.4518971710660178,24.75608428219394,32.83979103183374,50.12153370657347,False,33.12336565231654,False,0.6770859652997954,0.8163448915979625,0.8527987605818086,0.9572538438505985,True,2.1580694855498823,4.624434611892606,261,261,183.83404864091563,183.83404864091563,180.59736050011574,184.9773844757042,0.03284535118306637,0.007722007722007707,4.121324380643561,True,0.9938190507016346,0.029411764705881704,False,False,0.015367558369942145,False,none,True,False,in band and consistent with the spectral estimate,261,5,0.8153846153846154,0.5304807692307691,0.4997884615384615,0.2076923076923077,0.28490384615384623,48,7,0.6660736627685752,0.20689655172413793,0.9346153846153846,0.1,0.279043362043362,0.6555720225720226,True,0.7961538461538462,2.2864614602527955,0.13561179375936044,0.6685591595652114,3.30484722407851,0.6576310305014843,False,partial,horizontal frame unverified: forward/mediolateral quantities are not trustworthy,"not classifiable: no ground truth, and alternation is gait-locked by construction"
